'Nombre: Aragon en Marcilla Código: C05 Fecha: 11/09/2010 Canales:18 IP: 10.15.2.21
'HHMM;1,A1,;2,A2,C;3,A3,uS;4,A4,mg/l;5,A5,mV;6,A6,mg/l;7,A7,m-1;8,A8,NTU;9,A9,m;10,A10,;11,A11,;12,A12,;13,A13,;14,A14,;15,A15,;16,A16,;17,A17,;18,A18,
1950 8.42V 18.08V 392.71V 10.47V 342.01V 0.03V 4.90V 19.98V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2000 8.42V 18.06V 392.71V 10.44V 343.30V 0.03V 5.32V 20.01V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2010 8.41V 18.04V 391.22V 10.40V 345.42V 0.03V 4.94V 19.96V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2020 8.41V 18.02V 391.18V 10.38V 346.48V 0.03V 5.00V 20.01V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2030 8.40V 18.01V 391.22V 10.35V 348.47V 0.03V 4.90V 19.66V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2040 8.40V 17.99V 392.59V 10.33V 349.63V 0.03V 4.69V 19.31V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2050 8.39V 17.97V 392.54V 10.29V 351.62V 0.03V 5.28V 18.98V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2100 8.38V 17.96V 391.30V 10.27V 352.81V 0.03V 4.86V 18.62V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2110 8.38V 17.94V 392.76V 10.24V 354.87V 0.03V 4.69V 17.96V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2120 8.36V 17.92V 392.89V 10.21V 355.96V 0.03V 5.43V 17.61V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2130 8.32V 17.90V 396.90V 10.15V 358.82V 0.03V 4.76V 17.93V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2140 8.34V 17.88V 392.63V 10.16V 358.95V 0.03V 4.76V 17.59V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2150 8.35V 17.89V 389.85V 10.13V 359.08V 0.03V 4.76V 18.27V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2200 8.34V 17.87V 391.52V 10.10V 360.01V 0.03V 4.80V 17.25V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2210 8.34V 17.85V 392.76V 10.07V 361.07V 0.03V 4.87V 16.56V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2220 8.33V 17.84V 394.21V 10.05V 362.26V 0.03V 5.28V 16.21V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2230 8.30V 17.83V 395.58V 10.02V 364.19V 0.03V 4.59V 15.86V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2240 8.31V 17.82V 395.45V 9.99V 364.16V 0.03V 4.83V 15.84V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2250 8.32V 17.80V 394.21V 9.99V 364.22V 0.03V 5.18V 15.86V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
2300 8.32V 17.80V 394.13V 9.98V 363.99V 0.03V 4.62V 15.57V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
